date,OT
2023-10-04 04:48:00,68
2023-10-04 04:49:00,56
2023-10-04 04:50:00,92
2023-10-04 04:51:00,170
2023-10-04 04:52:00,146
2023-10-04 04:53:00,184
2023-10-04 04:54:00,233
2023-10-04 04:55:00,234
2023-10-04 04:56:00,301
2023-10-04 04:57:00,271
2023-10-04 04:58:00,330
2023-10-04 04:59:00,341
2023-10-04 05:00:00,387
2023-10-04 05:01:00,325
2023-10-04 05:02:00,338
2023-10-04 05:03:00,245
2023-10-04 05:04:00,265
2023-10-04 05:05:00,282
2023-10-04 05:06:00,182
2023-10-04 05:07:00,171
2023-10-04 05:08:00,148
2023-10-04 05:09:00,133
2023-10-04 05:10:00,57
2023-10-04 05:11:00,44
2023-10-04 05:12:00,27
2023-10-04 05:13:00,53
2023-10-04 05:14:00,98
2023-10-04 05:15:00,146
2023-10-04 05:16:00,112
2023-10-04 05:17:00,182
2023-10-04 05:18:00,179
2023-10-04 05:19:00,195
2023-10-04 05:20:00,280
2023-10-04 05:21:00,234
2023-10-04 05:22:00,317
2023-10-04 05:23:00,296
2023-10-04 05:24:00,328
2023-10-04 05:25:00,312
2023-10-04 05:26:00,277
2023-10-04 05:27:00,203
2023-10-04 05:28:00,247
2023-10-04 05:29:00,227
2023-10-04 05:30:00,179
2023-10-04 05:31:00,122
2023-10-04 05:32:00,65
2023-10-04 05:33:00,70
2023-10-04 05:34:00,5
2023-10-04 05:35:00,11
2023-10-04 05:36:00,118
2023-10-04 05:37:00,158
2023-10-04 05:38:00,178
2023-10-04 05:39:00,196
2023-10-04 05:40:00,266
2023-10-04 05:41:00,268
2023-10-04 05:42:00,315
2023-10-04 05:43:00,348
2023-10-04 05:44:00,386
2023-10-04 05:45:00,380
2023-10-04 05:46:00,390
2023-10-04 05:47:00,421
2023-10-04 05:48:00,421
2023-10-04 05:49:00,366
2023-10-04 05:50:00,376
2023-10-04 05:51:00,332
2023-10-04 05:52:00,292
2023-10-04 05:53:00,275
2023-10-04 05:54:00,264
2023-10-04 05:55:00,216
2023-10-04 05:56:00,214
2023-10-04 05:57:00,180
2023-10-04 05:58:00,112
2023-10-04 05:59:00,95
2023-10-04 06:00:00,109
2023-10-04 06:01:00,122
2023-10-04 06:02:00,195
2023-10-04 06:03:00,229
2023-10-04 06:04:00,264
2023-10-04 06:05:00,254
2023-10-04 06:06:00,280
2023-10-04 06:07:00,302
2023-10-04 06:08:00,368
2023-10-04 06:09:00,354
2023-10-04 06:10:00,421
2023-10-04 06:11:00,429
2023-10-04 06:12:00,423
2023-10-04 06:13:00,370
2023-10-04 06:14:00,362
2023-10-04 06:15:00,309
2023-10-04 06:16:00,307
2023-10-04 06:17:00,294
2023-10-04 06:18:00,238
2023-10-04 06:19:00,229
2023-10-04 06:20:00,176
2023-10-04 06:21:00,167
2023-10-04 06:22:00,116
2023-10-04 06:23:00,121
2023-10-04 06:24:00,128
2023-10-04 06:25:00,137
2023-10-04 06:26:00,183
2023-10-04 06:27:00,210
2023-10-04 06:28:00,268
2023-10-04 06:29:00,244
2023-10-04 06:30:00,291
2023-10-04 06:31:00,323
2023-10-04 06:32:00,345
2023-10-04 06:33:00,370
2023-10-04 06:34:00,395
2023-10-04 06:35:00,448
2023-10-04 06:36:00,411
2023-10-04 06:37:00,377
2023-10-04 06:38:00,370
2023-10-04 06:39:00,334
2023-10-04 06:40:00,308
2023-10-04 06:41:00,283
2023-10-04 06:42:00,241
2023-10-04 06:43:00,187
2023-10-04 06:44:00,203
2023-10-04 06:45:00,162
2023-10-04 06:46:00,136
2023-10-04 06:47:00,104
2023-10-04 06:48:00,107
2023-10-04 06:49:00,113
2023-10-04 06:50:00,165
2023-10-04 06:51:00,224
2023-10-04 06:52:00,259
2023-10-04 06:53:00,248
2023-10-04 06:54:00,276
2023-10-04 06:55:00,292
2023-10-04 06:56:00,352
2023-10-04 06:57:00,386
2023-10-04 06:58:00,410
2023-10-04 06:59:00,466
2023-10-04 07:00:00,446
2023-10-04 07:01:00,379
2023-10-04 07:02:00,381
2023-10-04 07:03:00,320
2023-10-04 07:04:00,289
2023-10-04 07:05:00,288
2023-10-04 07:06:00,264
2023-10-04 07:07:00,166
2023-10-04 07:08:00,185
2023-10-04 07:09:00,173
2023-10-04 07:10:00,131
2023-10-04 07:11:00,61
2023-10-04 07:12:00,148
2023-10-04 07:13:00,148
2023-10-04 07:14:00,160
2023-10-04 07:15:00,230
2023-10-04 07:16:00,264
2023-10-04 07:17:00,257
2023-10-04 07:18:00,268
2023-10-04 07:19:00,296
2023-10-04 07:20:00,343
2023-10-04 07:21:00,376
2023-10-04 07:22:00,417
2023-10-04 07:23:00,450
2023-10-04 07:24:00,436
2023-10-04 07:25:00,409
2023-10-04 07:26:00,364
2023-10-04 07:27:00,335
2023-10-04 07:28:00,255
2023-10-04 07:29:00,279
2023-10-04 07:30:00,250
2023-10-04 07:31:00,197
2023-10-04 07:32:00,189
2023-10-04 07:33:00,168
2023-10-04 07:34:00,121
2023-10-04 07:35:00,90
2023-10-04 07:36:00,97
2023-10-04 07:37:00,55
2023-10-04 07:38:00,136
2023-10-04 07:39:00,201
2023-10-04 07:40:00,171
2023-10-04 07:41:00,237
2023-10-04 07:42:00,235
2023-10-04 07:43:00,244
2023-10-04 07:44:00,331
2023-10-04 07:45:00,326
2023-10-04 07:46:00,363
2023-10-04 07:47:00,365
2023-10-04 07:48:00,369
2023-10-04 07:49:00,369
2023-10-04 07:50:00,292
2023-10-04 07:51:00,289
2023-10-04 07:52:00,225
2023-10-04 07:53:00,244
2023-10-04 07:54:00,203
2023-10-04 07:55:00,119
2023-10-04 07:56:00,123
2023-10-04 07:57:00,124
2023-10-04 07:58:00,76
2023-10-04 07:59:00,60
2023-10-04 08:00:00,37
2023-10-04 08:01:00,26
2023-10-04 08:02:00,111
2023-10-04 08:03:00,129
2023-10-04 08:04:00,163
2023-10-04 08:05:00,176
2023-10-04 08:06:00,175
2023-10-04 08:07:00,208
2023-10-04 08:08:00,255
2023-10-04 08:09:00,274
2023-10-04 08:10:00,292
2023-10-04 08:11:00,313
2023-10-04 08:12:00,359
2023-10-04 08:13:00,285
2023-10-04 08:14:00,257
2023-10-04 08:15:00,195
2023-10-04 08:16:00,179
2023-10-04 08:17:00,144
2023-10-04 08:18:00,167
2023-10-04 08:19:00,81
2023-10-04 08:20:00,85
2023-10-04 08:21:00,63
2023-10-04 08:22:00,15
2023-10-04 08:23:00,7
2023-10-04 08:24:00,142
2023-10-04 08:25:00,147
2023-10-04 08:26:00,168
2023-10-04 08:27:00,209
2023-10-04 08:28:00,252
2023-10-04 08:29:00,251
2023-10-04 08:30:00,274
2023-10-04 08:31:00,309
2023-10-04 08:32:00,376
2023-10-04 08:33:00,356
2023-10-04 08:34:00,390
2023-10-04 08:35:00,427
2023-10-04 08:36:00,394
2023-10-04 08:37:00,397
2023-10-04 08:38:00,381
2023-10-04 08:39:00,343
2023-10-04 08:40:00,291
2023-10-04 08:41:00,295
2023-10-04 08:42:00,244
2023-10-04 08:43:00,201
2023-10-04 08:44:00,209
2023-10-04 08:45:00,173
2023-10-04 08:46:00,121
2023-10-04 08:47:00,99
2023-10-04 08:48:00,144
2023-10-04 08:49:00,119
2023-10-04 08:50:00,192
2023-10-04 08:51:00,204
2023-10-04 08:52:00,251
2023-10-04 08:53:00,249
2023-10-04 08:54:00,286
2023-10-04 08:55:00,298
2023-10-04 08:56:00,377
2023-10-04 08:57:00,367
2023-10-04 08:58:00,389
2023-10-04 08:59:00,431
2023-10-04 09:00:00,445
2023-10-04 09:01:00,407
2023-10-04 09:02:00,367
2023-10-04 09:03:00,319
2023-10-04 09:04:00,300
2023-10-04 09:05:00,274
2023-10-04 09:06:00,277
2023-10-04 09:07:00,239
2023-10-04 09:08:00,187
2023-10-04 09:09:00,148
2023-10-04 09:10:00,131
2023-10-04 09:11:00,92
2023-10-04 09:12:00,132
2023-10-04 09:13:00,116
2023-10-04 09:14:00,180
2023-10-04 09:15:00,231
2023-10-04 09:16:00,283
2023-10-04 09:17:00,250
2023-10-04 09:18:00,294
2023-10-04 09:19:00,312
2023-10-04 09:20:00,369
2023-10-04 09:21:00,366
2023-10-04 09:22:00,428
2023-10-04 09:23:00,426
2023-10-04 09:24:00,414
2023-10-04 09:25:00,404
2023-10-04 09:26:00,336
2023-10-04 09:27:00,331
2023-10-04 09:28:00,294
2023-10-04 09:29:00,315
2023-10-04 09:30:00,237
2023-10-04 09:31:00,250
2023-10-04 09:32:00,188
2023-10-04 09:33:00,119
2023-10-04 09:34:00,112
2023-10-04 09:35:00,118
2023-10-04 09:36:00,131
2023-10-04 09:37:00,133
2023-10-04 09:38:00,193
2023-10-04 09:39:00,218
2023-10-04 09:40:00,257
2023-10-04 09:41:00,267
2023-10-04 09:42:00,303
2023-10-04 09:43:00,324
2023-10-04 09:44:00,376
2023-10-04 09:45:00,352
2023-10-04 09:46:00,395
2023-10-04 09:47:00,407
2023-10-04 09:48:00,451
2023-10-04 09:49:00,407
2023-10-04 09:50:00,341
2023-10-04 09:51:00,326
2023-10-04 09:52:00,306
2023-10-04 09:53:00,301
2023-10-04 09:54:00,275
2023-10-04 09:55:00,222
2023-10-04 09:56:00,182
2023-10-04 09:57:00,144
2023-10-04 09:58:00,138
2023-10-04 09:59:00,93
2023-10-04 10:00:00,95
2023-10-04 10:01:00,117
2023-10-04 10:02:00,170
2023-10-04 10:03:00,217
2023-10-04 10:04:00,291
2023-10-04 10:05:00,271
2023-10-04 10:06:00,285
2023-10-04 10:07:00,320
2023-10-04 10:08:00,365
2023-10-04 10:09:00,345
2023-10-04 10:10:00,367
2023-10-04 10:11:00,439
2023-10-04 10:12:00,418
2023-10-04 10:13:00,392
2023-10-04 10:14:00,351
2023-10-04 10:15:00,363
2023-10-04 10:16:00,351
2023-10-04 10:17:00,274
2023-10-04 10:18:00,294
2023-10-04 10:19:00,255
2023-10-04 10:20:00,219
2023-10-04 10:21:00,216
2023-10-04 10:22:00,132
2023-10-04 10:23:00,152
2023-10-04 10:24:00,111
2023-10-04 10:25:00,69
2023-10-04 10:26:00,176
2023-10-04 10:27:00,220
2023-10-04 10:28:00,258
2023-10-04 10:29:00,205
2023-10-04 10:30:00,263
2023-10-04 10:31:00,234
2023-10-04 10:32:00,313
2023-10-04 10:33:00,361
2023-10-04 10:34:00,348
2023-10-04 10:35:00,387
2023-10-04 10:36:00,401
2023-10-04 10:37:00,326
2023-10-04 10:38:00,360
2023-10-04 10:39:00,360
2023-10-04 10:40:00,306
2023-10-04 10:41:00,293
2023-10-04 10:42:00,255
2023-10-04 10:43:00,242
2023-10-04 10:44:00,181
2023-10-04 10:45:00,149
2023-10-04 10:46:00,98
2023-10-04 10:47:00,73
2023-10-04 10:48:00,63
2023-10-04 10:49:00,7
2023-10-04 10:50:00,50
2023-10-04 10:51:00,171
2023-10-04 10:52:00,201
2023-10-04 10:53:00,148
2023-10-04 10:54:00,178
2023-10-04 10:55:00,225
2023-10-04 10:56:00,270
2023-10-04 10:57:00,305
2023-10-04 10:58:00,263
2023-10-04 10:59:00,365
2023-10-04 11:00:00,405
2023-10-04 11:01:00,287
2023-10-04 11:02:00,280
2023-10-04 11:03:00,243
2023-10-04 11:04:00,213
2023-10-04 11:05:00,156
2023-10-04 11:06:00,172
2023-10-04 11:07:00,118
2023-10-04 11:08:00,102
2023-10-04 11:09:00,114
2023-10-04 11:10:00,24
2023-10-04 11:11:00,1
2023-10-04 11:12:00,121
2023-10-04 11:13:00,202
2023-10-04 11:14:00,203
2023-10-04 11:15:00,265
2023-10-04 11:16:00,324
2023-10-04 11:17:00,317
2023-10-04 11:18:00,289
2023-10-04 11:19:00,325
2023-10-04 11:20:00,395
2023-10-04 11:21:00,385
2023-10-04 11:22:00,423
2023-10-04 11:23:00,432
2023-10-04 11:24:00,488
2023-10-04 11:25:00,391
2023-10-04 11:26:00,434
2023-10-04 11:27:00,321
2023-10-04 11:28:00,306
2023-10-04 11:29:00,316
2023-10-04 11:30:00,247
2023-10-04 11:31:00,267
2023-10-04 11:32:00,170
2023-10-04 11:33:00,183
2023-10-04 11:34:00,128
2023-10-04 11:35:00,149
2023-10-04 11:36:00,102
2023-10-04 11:37:00,144
2023-10-04 11:38:00,187
2023-10-04 11:39:00,225
2023-10-04 11:40:00,244
2023-10-04 11:41:00,322
2023-10-04 11:42:00,326
2023-10-04 11:43:00,393
2023-10-04 11:44:00,373
2023-10-04 11:45:00,353
2023-10-04 11:46:00,445
2023-10-04 11:47:00,452
2023-10-04 11:48:00,414
2023-10-04 11:49:00,394
2023-10-04 11:50:00,403
2023-10-04 11:51:00,368
2023-10-04 11:52:00,365
2023-10-04 11:53:00,342
2023-10-04 11:54:00,327
2023-10-04 11:55:00,210
2023-10-04 11:56:00,204
2023-10-04 11:57:00,172
2023-10-04 11:58:00,127
2023-10-04 11:59:00,189
2023-10-04 12:00:00,148
2023-10-04 12:01:00,165
2023-10-04 12:02:00,253
2023-10-04 12:03:00,215
2023-10-04 12:04:00,254
2023-10-04 12:05:00,265
2023-10-04 12:06:00,332
2023-10-04 12:07:00,305
2023-10-04 12:08:00,345
2023-10-04 12:09:00,422
2023-10-04 12:10:00,414
2023-10-04 12:11:00,481
2023-10-04 12:12:00,479
2023-10-04 12:13:00,382
2023-10-04 12:14:00,353
2023-10-04 12:15:00,365
2023-10-04 12:16:00,373
2023-10-04 12:17:00,373
2023-10-04 12:18:00,274
2023-10-04 12:19:00,255
2023-10-04 12:20:00,168
2023-10-04 12:21:00,155
2023-10-04 12:22:00,174
2023-10-04 12:23:00,136
2023-10-04 12:24:00,194
2023-10-04 12:25:00,155
2023-10-04 12:26:00,230
2023-10-04 12:27:00,219
2023-10-04 12:28:00,318
2023-10-04 12:29:00,351
2023-10-04 12:30:00,296
2023-10-04 12:31:00,374
2023-10-04 12:32:00,427
2023-10-04 12:33:00,366
2023-10-04 12:34:00,369
2023-10-04 12:35:00,487
2023-10-04 12:36:00,428
2023-10-04 12:37:00,391
2023-10-04 12:38:00,403
2023-10-04 12:39:00,369
2023-10-04 12:40:00,354
2023-10-04 12:41:00,273
2023-10-04 12:42:00,308
2023-10-04 12:43:00,225
2023-10-04 12:44:00,220
2023-10-04 12:45:00,160
2023-10-04 12:46:00,183
2023-10-04 12:47:00,118
2023-10-04 12:48:00,120
2023-10-04 12:49:00,201
2023-10-04 12:50:00,248
2023-10-04 12:51:00,250
2023-10-04 12:52:00,321
2023-10-04 12:53:00,318
2023-10-04 12:54:00,349
2023-10-04 12:55:00,345
2023-10-04 12:56:00,420
2023-10-04 12:57:00,337
2023-10-04 12:58:00,360
2023-10-04 12:59:00,482
2023-10-04 13:00:00,478
2023-10-04 13:01:00,418
2023-10-04 13:02:00,425
2023-10-04 13:03:00,328
2023-10-04 13:04:00,287
2023-10-04 13:05:00,355
2023-10-04 13:06:00,283
2023-10-04 13:07:00,282
2023-10-04 13:08:00,178
2023-10-04 13:09:00,227
2023-10-04 13:10:00,117
2023-10-04 13:11:00,180
2023-10-04 13:12:00,78
2023-10-04 13:13:00,132
2023-10-04 13:14:00,142
2023-10-04 13:15:00,157
2023-10-04 13:16:00,231
2023-10-04 13:17:00,275
2023-10-04 13:18:00,194
2023-10-04 13:19:00,345
2023-10-04 13:20:00,320
2023-10-04 13:21:00,372
2023-10-04 13:22:00,325
2023-10-04 13:23:00,436
2023-10-04 13:24:00,383
2023-10-04 13:25:00,383
2023-10-04 13:26:00,315
2023-10-04 13:27:00,323
2023-10-04 13:28:00,301
2023-10-04 13:29:00,342
2023-10-04 13:30:00,251
2023-10-04 13:31:00,234
2023-10-04 13:32:00,169
2023-10-04 13:33:00,162
2023-10-04 13:34:00,73
2023-10-04 13:35:00,92
2023-10-04 13:36:00,87
2023-10-04 13:37:00,50
2023-10-04 13:38:00,113
2023-10-04 13:39:00,111
2023-10-04 13:40:00,157
2023-10-04 13:41:00,188
2023-10-04 13:42:00,179
2023-10-04 13:43:00,315
2023-10-04 13:44:00,311
2023-10-04 13:45:00,265
2023-10-04 13:46:00,344
2023-10-04 13:47:00,359
2023-10-04 13:48:00,355
2023-10-04 13:49:00,252
2023-10-04 13:50:00,271
2023-10-04 13:51:00,251
2023-10-04 13:52:00,266
2023-10-04 13:53:00,287
2023-10-04 13:54:00,197
2023-10-04 13:55:00,122
2023-10-04 13:56:00,108
2023-10-04 13:57:00,51
2023-10-04 13:58:00,68
2023-10-04 13:59:00,41
